name;source;target;max_latency;bandwidth;availability;vnf_list;
d_1;Kaiserslautern;Fulda;5000;10;0.99999;vnf_1,vnf_8,vnf_3,vnf_5,vnf_2,vnf_4
d_2;Passau;Hannover;10000;10;0.99990;vnf_7,vnf_2,vnf_8,vnf_4,vnf_5,vnf_1
d_3;Augsburg;Kempten;10000;10;0.99990;vnf_4,vnf_7,vnf_2,vnf_6,vnf_5,vnf_8
d_4;Regensburg;Fulda;40000;10;0.99900;vnf_5,vnf_3,vnf_6,vnf_7,vnf_2,vnf_4
d_5;Kiel;Hamburg;5000;10;0.99999;vnf_8,vnf_2,vnf_1
d_6;Erfurt;Greifswald;10000;10;0.99990;vnf_3,vnf_8,vnf_4,vnf_5,vnf_6
d_7;Wesel;Karlsruhe;60000;28;0.99999;vnf_8,vnf_1,vnf_6,vnf_3
d_8;Erfurt;Nuernberg;60000;28;0.99999;vnf_6
d_9;Osnabrueck;Freiburg;60000;28;0.99999;vnf_8,vnf_4,vnf_1,vnf_3,vnf_2
d_10;Greifswald;Braunschweig;60000;1;0.99900;vnf_6,vnf_4,vnf_1,vnf_3,vnf_7
d_11;Bremerhaven;Bayreuth;60000;28;0.99999;vnf_4,vnf_3,vnf_6,vnf_2,vnf_1,vnf_7
d_12;Kassel;Schwerin;60000;28;0.99999;vnf_8,vnf_5,vnf_3,vnf_1,vnf_7
d_13;Passau;Konstanz;60000;28;0.99999;vnf_3,vnf_1
d_14;Braunschweig;Erfurt;5000;10;0.99999;vnf_4,vnf_7,vnf_8,vnf_3,vnf_6
d_15;Muenchen;Kaiserslautern;60000;1;0.99900;vnf_8,vnf_6,vnf_5
d_16;Essen;Bremen;30000;10;0.99999;vnf_2,vnf_3,vnf_8,vnf_7
d_17;Braunschweig;Frankfurt;10000;10;0.99990;vnf_6,vnf_5,vnf_4,vnf_3,vnf_8
d_18;Freiburg;Darmstadt;5000;10;0.99999;vnf_7,vnf_6,vnf_1
d_19;Kaiserslautern;Essen;60000;1;0.99900;vnf_3,vnf_5,vnf_7
d_20;Hamburg;Nuernberg;5000;10;0.99999;vnf_2
d_21;Kaiserslautern;Oldenburg;10000;10;0.99990;vnf_1
d_22;Freiburg;Koblenz;40000;10;0.99900;vnf_3,vnf_7,vnf_5,vnf_8
d_23;Wesel;Augsburg;60000;1;0.99900;vnf_4,vnf_6,vnf_3
d_24;Dresden;Berlin;30000;10;0.99999;vnf_7,vnf_2,vnf_1,vnf_3
d_25;Darmstadt;Chemnitz;60000;1;0.99900;vnf_4
d_26;Augsburg;Flensburg;60000;28;0.99999;vnf_1
d_27;Ulm;Kempten;10000;10;0.99990;vnf_5,vnf_6,vnf_4,vnf_8,vnf_7,vnf_3
d_28;Koeln;Norden;40000;10;0.99900;vnf_4,vnf_7,vnf_1,vnf_5,vnf_3
d_29;Trier;Wesel;5000;10;0.99999;vnf_7
d_30;Greifswald;Koeln;5000;10;0.99999;vnf_2,vnf_3,vnf_5
