name;source;target;max_latency;bandwidth;availability;vnf_list;
d_1;N5;N6;10000;10;0.99990;vnf_7,vnf_3
d_2;N7;N2;40000;10;0.99900;vnf_1,vnf_4,vnf_8,vnf_6
d_3;N11;N6;40000;10;0.99900;vnf_1,vnf_6,vnf_4,vnf_5
d_4;N4;N11;60000;61;0.99999;vnf_1,vnf_8,vnf_7,vnf_5,vnf_2
d_5;N7;N11;60000;1;0.99900;vnf_5,vnf_8,vnf_1,vnf_6,vnf_3,vnf_4
d_6;N6;N7;30000;10;0.99999;vnf_5
d_7;N11;N6;30000;10;0.99999;vnf_8,vnf_1,vnf_2,vnf_7,vnf_3
d_8;N1;N7;60000;61;0.99999;vnf_4,vnf_3,vnf_8,vnf_5
d_9;N12;N15;5000;10;0.99999;vnf_4,vnf_1,vnf_5,vnf_7
d_10;N5;N12;10000;10;0.99990;vnf_1,vnf_6,vnf_3,vnf_4
d_11;N3;N13;60000;1;0.99900;vnf_5,vnf_2
d_12;N13;N1;60000;1;0.99900;vnf_6,vnf_1,vnf_2,vnf_5,vnf_3,vnf_4
d_13;N12;N10;5000;10;0.99999;vnf_2,vnf_5,vnf_3,vnf_7,vnf_6,vnf_4
d_14;N10;N12;40000;10;0.99900;vnf_5,vnf_3,vnf_1,vnf_8,vnf_2
d_15;N3;N9;60000;1;0.99900;vnf_2,vnf_6,vnf_3,vnf_1,vnf_8
d_16;N6;N1;60000;1;0.99900;vnf_2,vnf_8,vnf_3
d_17;N2;N7;10000;10;0.99990;vnf_3,vnf_8,vnf_5,vnf_4,vnf_2,vnf_7
d_18;N3;N1;40000;10;0.99900;vnf_4,vnf_8,vnf_2,vnf_5,vnf_1
d_19;N8;N9;10000;10;0.99990;vnf_5
d_20;N11;N6;30000;10;0.99999;vnf_6,vnf_3,vnf_8
d_21;N3;N12;5000;10;0.99999;vnf_2
d_22;N15;N8;40000;10;0.99900;vnf_7,vnf_1,vnf_3,vnf_4,vnf_8
d_23;N5;N15;10000;10;0.99990;vnf_7,vnf_5,vnf_1,vnf_2
d_24;N13;N3;60000;61;0.99999;vnf_6,vnf_5,vnf_3,vnf_1
d_25;N12;N9;30000;10;0.99999;vnf_1,vnf_2
d_26;N13;N11;60000;61;0.99999;vnf_6,vnf_8,vnf_3,vnf_4
d_27;N14;N15;40000;10;0.99900;vnf_7,vnf_1,vnf_8
d_28;N15;N10;10000;10;0.99990;vnf_5,vnf_7,vnf_1,vnf_2
d_29;N10;N15;60000;1;0.99900;vnf_8
d_30;N13;N2;30000;10;0.99999;vnf_7,vnf_4,vnf_3,vnf_2,vnf_1,vnf_6
d_31;N11;N13;10000;10;0.99990;vnf_1
d_32;N2;N5;40000;10;0.99900;vnf_1,vnf_3,vnf_5,vnf_8,vnf_7
d_33;N2;N15;60000;61;0.99999;vnf_3,vnf_8
d_34;N1;N11;60000;61;0.99999;vnf_5,vnf_1,vnf_7,vnf_4,vnf_3,vnf_8
d_35;N6;N10;60000;1;0.99900;vnf_4,vnf_1,vnf_2
d_36;N3;N8;40000;10;0.99900;vnf_1,vnf_7,vnf_3,vnf_6,vnf_5
d_37;N14;N9;10000;10;0.99990;vnf_3,vnf_6,vnf_2,vnf_1,vnf_8
d_38;N7;N2;10000;10;0.99990;vnf_5,vnf_3,vnf_2,vnf_6,vnf_4,vnf_7
d_39;N2;N6;10000;10;0.99990;vnf_8,vnf_3
d_40;N11;N10;60000;1;0.99900;vnf_7,vnf_8,vnf_2,vnf_4,vnf_6,vnf_5
